NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;;;;;;;;;;;;;
;NOT NOW!;JE SUIS PAS D'HUMEUR !;JETZT NICHT!;¡AHORA NO!;NON ADESSO!;AGORA NÃO!;НЕ СЕЙЧАС!;NIE TERAZ!;いまは やめてくれ!;지금은 안돼!;不是现在！;再等等!;
;HELP ME OUT HERE!;DONNE-MOI UN COUP DE MAIN !;HILF MIR LIEBER!;¡AYÚDAME A SALIR DE AQUÍ!;AIUTAMI A USCIRE DI QUI!;ME AJUDE AQUI!;ПОМОГИ МНЕ!;POMÓŻ MI!;おねがい たすけて!;방해 좀 하지 마! ;救我出去！;把我救出去!;
;FINALLY SOME HELP!#STOP THESE SWORDS#FROM COMING IN!;ENFIN DE L'AIDE !#IL FAUT ARRÊTER#CE TAPIS ROULANT !;ENDLICH KOMMT HILFE!#VERHINDERE, DASS DIE#SCHWERTER REINKOMMEN!;¡POR FIN, AYUDA!#¡HAZ QUE PAREN#LAS ESPADAS!;FINALMENTE#UN AIUTO!#FERMA QUESTE SPADE!;FINALMENTE UMA AJUDA!#FAÇA PARAR ESSAS ESPADAS!;НАКОНЕЦ-ТО КАКАЯ-ТО ПОМОЩЬ!#ОСТАНОВИ ЭТИ#ПРИБЛИЖАЮЩИЕСЯ МЕЧИ!;WRESZCIE JAKAŚ POMOC!#POWSTRZYMAJ TE MIECZE!;ついに たすけが!#その はぐるまを#とめてくれ!;드디어 도움의 손길이 왔군!#저 검들이#못 가도록 좀 해줘!;终于来帮手了！#别让那些剑过来！;最後一些提示!#別讓這些劍#出來!;
;FINALLY SOME HELP!#SHUT DOWN THE OTHER SIDE#OF THE FACTORY!;ENFIN DE L'AIDE !#ARRÊTE LE TAPIS ROULANT#DE L'AUTRE CÔTÉ DE L'USINE !;ENDLICH ETWAS HILFE!#SCHALTE DIE ANDERE SEITE#DER FABRIK AB!;¡POR FIN, AYUDA!#¡CIERRA EL OTRO LADO#DE LA FÁBRICA!;FINALMENTE UN AIUTO!#ARRESTA LA PRODUZIONE#DALL'ALTRO LATO DELLA FABBRICA!;FINALMENTE UMA AJUDA!#DESLIGUE O OUTRO LADO#DA FÁBRICA!;НУ ПОМОГИТЕ МНЕ УЖЕ!#ВЫРУБИТЕ НА ТОЙ СТОРОНЕ#ФАБРИКИ!;WRESZCIE JAKAŚ POMOC!#WYŁĄCZ MASZYNĘ#PO DRUGIEJ STRONIE FABRYKI!;ついに たすけが!#こうじょうの むこうがわも よろしく たのむ!;드디어 도움의 손길이 왔군!#나머지 기계 하나도#마저 꺼줘! ;终于来帮手了！#把工厂的另一侧的线路关掉！;最後一些提示!#關閉#工廠的另一側!;
;QUICK, SWORD IN THE MECHANISM!;VITE, COINCE TON ÉPÉE#DANS LE MÉCANISME !;SCHNELL, DAS SCHWERT#IN DEN MECHANISMUS!;¡RÁPIDO, LA ESPADA EN EL MECANISMO!;SU, INCASTRA LA SPADA NEL MECCANISMO!;RÁPIDO, ESPADA NO MECANISMO!;БЫСТРЕЕ, СУЙ МЕЧ В МЕХАНИЗМ!;SZYBKO, WETKNIJ MIECZ W MECHANIZM!;はやく そのつるぎを ぶっこめ!;어서, 저 검을 여기에 놓아!;快，把剑放到机器里！;快點,把劍放到機器上!;
;IT'S STUCK!#WATER! QUICK!;ELLE EST BLOQUÉE !#DE L'EAU ! VITE !;ES KLEMMT!#WASSER! SCHNELL!;¡CLAVADA!#¡AGUA! ¡RÁPIDO!;SI È BLOCCATO!#ACQUA! PRESTO!;FICOU PRESA!#JOGUE ÁGUA! RÁPIDO!;ОН ЗАСТРЯЛ!#ВОДЫ! БЫСТРЕЕ!;UTKNĄŁ!#WODY! SZYBKO!;ひっかかった!#みずを! はやく!;칼이 붙어버렸어!#물을 가져와! 어서! ;卡住了！#水！快！;卡住了!#水!快點!;
;AMAZING!#GET IT OUT!;FORMIDABLE !#RETIRE-LÀ !;WAHNSINN!#HOL ES RAUS!;¡INCREÍBLE!#¡SÁCALA!;FANTASTICO!#TIRALA FUORI!;INCRÍVEL!#TIRE-A DAÍ!;УДИВИТЕЛЬНО!#ВЫТАСКИВАЙ!;NIESAMOWITE!#WYCIĄGNIJ GO!;いいぞ!#その ちょうしだ!;대단한데!#이제 다시 검을 잡아봐!;好神奇！#把它取出来！;太神奇了!#拿出來!;
;THE SWORDS ARE GOING BACK UP!#GO AND PUT AN END TO THIS!;LES ÉPÉES REPARTENT#DANS L'AUTRE SENS !#À TOI DE JOUER !;DIE SCHWERTER GEHEN WIEDER HOCH!#BEREITE DEM EIN ENDE!;¡LAS ESPADAS VUELVEN!#¡VE A PONER FIN A ESTO!;LE SPADE STANNO TORNANDO INDIETRO!#INTERROMPI L'AVANZAMENTO!;AS ESPADAS ESTÃO VOLTANDO!#ACABE COM ISSO DE UMA#VEZ POR TODAS!;МЕЧ ПРОКАЧАЛСЯ НА СЛАВУ!#ИДИ И ПОЛОЖИ ЭТОМУ КОНЕЦ!;OTO POWRACAJĄ MIECZE!#IDŹ I POŁÓŻ TEMU KRES!;メガソードを てにいれたな!#さぁ とどめを さすんだ!;검들의 저주가 풀리고 있어!#어서 가서 모든 걸 마무리지으라고!;那些剑都回来了！#去做个了结吧！;劍回來了!#趕緊結束這一切!;
;;;;;;;;;;;;;
;NOT NOW!;PAS DE TEMPS À PERDRE !;NICHT JETZT!;¡AHORA NO!;NON ORA!;AGORA NÃO!;НЕ СЕЙЧАС!;NIE TERAZ!;いまは やめてくれ!;지금은 안돼!;不是现在！;並非現在!;
;HELP ME OUT HERE!;AIDE-MOI !;HILF MIR LIEBER!;¡AYÚDAME A SALIR DE AQUÍ!;AIUTAMI A USCIRE DI QUI!;ME AJUDE AQUI!;ПОМОГИ МНЕ ВЫБРАТЬСЯ!;POMÓŻ MI!;おねがい たすけて!;방해 좀 하지 마! ;救我出去！;幫我出去!;
;THIS SHOULD DO IT!#SMASH THE MACHINE!;TU Y ES PRESQUE !#FRACASSE LA MACHINE !;DAS SOLLTE REICHEN!#ZERSTÖRE DIE MASCHINE!;¡ASÍ VALDRÁ!#¡DESTRUYE LA MÁQUINA!;DOVREBBE FUNZIONARE!#DISTRUGGI IL MACCHINARIO!;ISSO DEVE FUNCIONAR!#DESTRUA A MÁQUINA!;ЭТО ДОЛЖНО СРАБОТАТЬ!#ЛОМАЙ МАШИНУ!;TO POWINNO POMÓC!#ROZBIJ MASZYNĘ!;いまが そのときだ!#マシンを こわせ!;해야만 한다고!#기계를 박살 내!;这样应该行！#砸烂那台机器！;應該這樣做＃機器!;
;;;;;;;;;;;;;
;YOU TOOK THAT CURSED SWORD?#PLEASE DROP BY THE FACTORY ASAP.;TU AS UNE DE CES MAUDITES ÉPÉES.#PASSE À L'USINE LE PLUS TÔT POSSIBLE.;DU HAST DAS VERFLUCHTE SCHWERT?#BITTE KOMM SCHNELL ZUR FABRIK.;¿HAS COGIDO ESA MALDITA ESPADA?#PÁSATE YA POR LA FÁBRICA.;HAI PRESO QUELLA SPADA MALEDETTA?#DIRIGITI ALLA FABBRICA ALLA SVELTA.;VOCÊ PEGOU A ESPADA AMALDIÇOADA?#VÁ PARA A FÁBRICA, RÁPIDO.;У ТЕБЯ ПРОКЛЯТЫЙ МЕЧ?#КАК МОЖНО СКОРЕЕ ИДИ НА ЗАВОД.;MASZ TEN PRZEKLĘTY MIECZ?#PRZYJDŹ SZYBKO DO FABRYKI.;それは のろわれた つるぎでは?#いますぐ こうじょうへ いってください;저주받은 검을 얻었다고?#어서 공장에 버려.;你拿了那把诅咒之剑？#请尽快到工厂来吧。;你拿到被詛咒的劍了麼?#請儘快來到工廠.;
;OUCH!#@;AÏE !#@;AUTSCH!#@;¡AY!#@;AHI!#@;AI!#@;ОЙ!#@;OJOJ!#@;いてっ!#@;아야!#@;好疼！#@;哎呦!#@;
;THANKS...#@;MERCI...#@;DANKE...#@;GRACIAS...#@;OH, GRAZIE...#@;OBRIGADO...#@;СПАСИБО...#@;DZIĘKI...#@;ありがとう…#@;고마워...#@;谢谢……#@;謝謝...#@;
;DON'T GET DISTRACTED.#PLEASE COME TO THE FACTORY.;NE PERDS PAS TON TEMPS !#PASSE À L'USINE.;LASS DICH NICHT ABLENKEN.#BITTE KOMM ZUR FABRIK.;NO TE DISTRAIGAS.#ANDA, VEN A LA FÁBRICA.;NON TI DISTRARRE.#DEVI ANDARE ALLA FABBRICA.;NÃO SE DISTRAIA.#VENHA PARA A FÁBRICA.;НЕ ОТВЛЕКАЙСЯ.#ПОЖАЛУЙСТА, ИДИ НА ЗАВОД.;NIE ROZPRASZAJ SIĘ.#PRZYJDŹ DO FABRYKI.;よりみちは きんもつです#こうじょうへ おこしください;다른 곳으로 새지 말고#어서 공장으로 가.;别乱晃。#请到工厂来。;不要分神.#請來工廠.;
;THE SWORD FACTORY IS#PRACTICALLY NEXT DOOR.#PLEASE HURRY UP!;L'USINE À ÉPÉES EST#JUSTE À CÔTÉ D'ICI.#DÉPÊCHE-TOI, S'IL TE PLAÎT !;DIE SCHWERTFABRIK IST#PRAKTISCH UM DIE ECKE.#BITTE BEEIL DICH!;LA FÁBRICA DE ESPADAS#ESTÁ AL LADITO.#¡DATE PRISA!;LA FABBRICA DI SPADE È#PRATICAMENTE DIETRO L'ANGOLO.#FAI IN FRETTA!;A FÁBRICA DE ESPADAS FICA#PRATICAMENTE AQUI DO LADO.#ANDE LOGO!;ЗАВОД МЕЧЕЙ НАХОДИТСЯ#БУКВАЛЬНО ЗА ДВЕРЬЮ.#ПОТОРОПИСЬ!;FABRYKA MIECZY#JEST TUŻ OBOK.#POSPIESZ SIĘ!;つるぎの こうじょうは#もう すぐそこ ですよ#ほらほら いそいで!;검 공장이#얼마 남지 않았어.#어서 서둘러!;剑厂就在下扇门。#请快点！;劍廠就在旁邊.#請快點!;
;THIS ALL HAPPENED BEFORE,#BUT NEVER THIS BAD...;ON A DÉJÀ VÉCU DES MINUTES DIFFICILES,#MAIS JAMAIS À CE POINT...;ALL DAS IST SCHON OFT GESCHEHEN,#DOCH NIE WAR ES SO SCHLIMM...;ESTO YA HABÍA PASADO,#PERO NUNCA ASÍ.;ERA GIÀ SUCCESSO PRIMA,#MA STAVOLTA È PEGGIO...;ISSO JÁ ACONTECEU ANTES,#MAS NUNCA FOI TÃO GRAVE...;ВСЕ ТАКОЕ УЖЕ БЫВАЛО,#НО НЕ НАСТОЛЬКО ПЛОХИМ...;TO JUŻ ZDARZAŁO SIĘ WCZEŚNIEJ,#ALE TAK ŹLE JESZCZE NIE BYŁO...;いままでも おなじような ことが おこりましたが#ここまで ひどいとは…;이런 저주는 예전에도 있었지만,#이렇게 심각한 적은 처음이야...;这些事之前全都发生过，#但从未有这么糟糕……;之前也發生過這樣的狀況,#但沒這麼糟…;
;DESTROY THE MACHINE!#BEFORE EVERYTHING#RESETS AGAIN!;DÉTRUIS LA MACHINE !#AVANT QUE LE SYSTÈME#NE SE RÉINITIALISE !;ZERSTÖRE DIE MASCHINE!#BEVOR ALLES WIEDER#VON VORN BEGINNT!;¡DESTRUYE LA MÁQUINA#ANTES DE QUE TODO SE#REINICIE!;DISTRUGGI IL MACCHINARIO,#PRIMA CHE LA PRODUZIONE#SI RIATTIVI!;DESTRUA A MÁQUINA!#ANTES QUE TUDO RECOMECE#OUTRA VEZ!;УНИЧТОЖЬ МАШИНУ!#ПОКА ВСЕ СНОВА#НЕ СБРОСИЛОСЬ!;ZNISZCZ MASZYNĘ!#ZANIM WSZYSTKO#ZNÓW SIĘ ZRESETUJE!;マシンを こわすのです!#すべてが リセット#されるまえに!;모든 것이#되돌아가기 전에#그 기계를 파괴해!;在一切重置前！#摧毁那机器！;在一切恢復原位之前#銷毀機器!;
;YOU'RE FINALLY HERE!#THE WHOLE FACTORY#IS GETTING CURSED...#PLEASE SAVE US!;TE VOILÀ ENFIN !#C'EST LE CHAOS DANS TOUTE L'USINE...#SAUVE-NOUS, JE T'EN SUPPLIE !;ENDLICH BIST DU HIER!#DIE GESAMTE FABRIK#WIRD VERFLUCHT...#BITTE RETTE UNS!;¡POR FIN LLEGAS!#TODA LA FÁBRICA ESTÁ MALDITA.#¡SÁLVANOS, POR FAVOR!;FINALMENTE SEI QUI!#UNA MALEDIZIONE SI È#ABBATTUTA SULLA FABBRICA...#SALVACI, TI PREGO!;VOCÊ CHEGOU, FINALMENTE!#A FÁBRICA TODA FOI#AMALDIÇOADA...#NOS SALVE, POR FAVOR!;НАКОНЕЦ ТЫ ЗДЕСЬ!#ВЕСЬ ЗАВОД НАКРЫВАЕТ#ПРОКЛЯТЬЕ...#ПОЖАЛУЙСТА, СПАСИ НАС!;W KOŃCU JESTEŚ!#TA CAŁA FABRYKA JEST PRZEKLĘTA...#URATUJ NAS!;やっと きてくれたのですね!#こうじょうが #のろわれて いるのです…#おねがい わたしたちを たすけて!;드디어 여기로 왔구나!#이 공장 전체가#저주받기 시작했어...#부디 우리를 구해줘!;你终于来了！#整间工厂都受到了诅咒……#请救救我们！;你終於來了!#整個工廠#被詛咒了…#請幫幫我們!;
;YOU LEFT YOUR SWORD#AT THE FACTORY?#GET IT BACK!;TU AS LAISSÉ TON ÉPÉE#À L'USINE ?#VA LA RÉCUPÉRER !;DU HAST DEIN SCHWERT IN#DER FABRIK GELASSEN?#GEH UND HOL ES!;¿TE HAS DEJADO LA ESPADA#EN LA FÁBRICA?#¡RECUPÉRALA!;HAI LASCIATO LA SPADA#NELLA FABBRICA?#VAI A RIPRENDERLA!;VOCÊ DEIXOU SUA ESPADA#NA FÁBRICA!#PEGUE-A DE VOLTA!;ТВОЙ МЕЧ ОСТАЛСЯ#НА ЗАВОДЕ?#ВЕРНИ ЕГО!;TWÓJ MIECZ ZOSTAŁ#W FABRYCE?#ODZYSKAJ GO!;つるぎを どこかに#おいてきて しまったって?#とりに もどるんだ!;공장에 검을#두고 왔다고?#다시 가져와!;你的剑留在了工厂？#去拿回来！;你把劍#留到工廠了麼?拿回來!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;HELP!;À L'AIDE !;HILFE!;¡SOCORRO!;AIUTO!;SOCORRO!;НА ПОМОЩЬ!;POMOCY!;たすけて!;살려줘!;救命！;求助!;
;NO!;NON !;NEIN!;¡NO!;NO!;NÃO!;НЕТ!;NIE!;そんな!;뭐 하는 거야!;不!;不!;
;PLEASE...#CONSTRUCTIVE FEEDBACK ONLY!;S'IL TE PLAÎT...#RENDS-TOI UTILE !;BITTE...#NUR KONSTRUKTIVE KRITIK!;POR FAVOR...#¡SOLO CRÍTICAS CONSTRUCTIVAS!;PER FAVORE...#SOLO CRITICHE COSTRUTTIVE!;EI...#SÓ ACEITAMOS FEEDBACK CONSTRUTIVO!;ПОЖАЛУЙСТА...#ТОЛЬКО КОНСТРУКТИВНАЯ КРИТИКА!;PROSZĘ...#WYŁĄCZNIE KONSTRUKTYWNA KRYTYKA!;けんせつてきな #ごいけんのみ うけつけます!;제발...#건설적인 것만 해줘!;拜托了……#只需要建设性的反馈！;請…#只有建設性的意見回饋!;
;MEET US AT THE MACHINE!;RETROUVE-NOUS À LA MACHINE !;TRIFF UNS BEI DER MASCHINE!;¡NOS VEMOS EN LA MÁQUINA!;CI VEDIAMO AL MACCHINARIO!;NOS ENCONTRE NA MÁQUINA!;ТЫ НАЙДЕШЬ НАС У МАШИНЫ!;SPOTKAJMY SIĘ PRZY MASZYNIE!;マシンの ばしょで あおう!;기계 앞에서 만나자!;在机器那见！;來機器這見我們!;
;ONLY ONE MORE TO GO!;PLUS QU'UN ET ON EST BONS !;DU HAST ES FAST GESCHAFFT!;¡SOLO UNO MÁS!;NE MANCA SOLO UNO!;SÓ FALTA MAIS UM!;ОСТАЛСЯ ВСЕГО ОДИН!;JESZCZE TYLKO JEDEN!;あと ひとりだ!;마지막 하나 남았어!;还剩一个！;只有一個了!;
;RESCUE THE @ OTHERS!;SAUVE LES @ AUTRES !;RETTE DIE ANDEREN @!;¡RESCATA A LOS OTROS @!;RECUPERA GLI ALTRI @!;SALVE OS OUTROS @!;СПАСИ ЕЩЕ @!;URATUJ JESZCZE @!;のこり あと@ にん!;남은 @명도 구해줘!;救出其余@个！;救救@其他的!;
;WE GOT THIS!;ON A LA SITUATION EN MAIN !;WIR SCHAFFEN DAS!;¡ESTO ESTÁ HECHO!;CI PENSIAMO NOI!;PRONTO!;У НАС ПОЛУЧИТСЯ!;ZAŁATWIMY TO!;きっと うまくいく!;다 모였네!;我们成功了！;我們控制了局勢!;
;;;;;;;;;;;;;
;FEEL FREE TO GRAB MY OLD CAMERA!;JE TE DONNE MON VIEIL APPAREIL PHOTO !;NIMM DIR MEINE ALTE KAMERA!;¡COGE MI VIEJA CÁMARA, SI QUIERES!;PRENDI PURE LA MIA VECCHIA FOTOCAMERA!;PODE FICAR COM A MINHA#ANTIGA CÂMERA!;МОЖЕШЬ ВЗЯТЬ МОЮ СТАРУЮ КАМЕРУ!;MOŻESZ WZIĄĆ MÓJ STARY APARAT!;わたしの カメラを すきに つかってくれ!;부디 내 낡은 카메라를 받아줘!;我的旧相机请随意拿去用吧！;我的舊相機就在那,請便!;
;IT'S NOT MUCH MUCH USE FOR ADVENTURING,#BUT DOES TAKE NICE PICTURES.#CHECK MY LAPTOP FOR MORE INFORMATION!;PAS TRÈS UTILE POUR L'AVENTURE,#MAIS IL PREND DE BELLES PHOTOS.#CONSULTE MON ORDINATEUR#POUR PLUS D'INFORMATIONS !;FÜR ABENTEUER TAUGT SIE SICHER#NICHT VIEL, DOCH SIE MACHT GUTE#BILDER. AUF MEINEM LAPTOP FINDEST#DU MEHR INFORMATIONEN!;NO VALE PARA IR DE AVENTURAS,#PERO SACA BUENAS FOTOS.#EN MI PORTÁTIL HAY MÁS INFORMACIÓN.;NON È UN GRANCHÉ PER LE AVVENTURE,#MA FA DELLE FOTO CARINE.#CERCA ALTRE INFO CON IL MIO PORTATILE!;NÃO SERVE MUITO PRA AVENTURAS,#MAS TIRA BOAS FOTOS.#VEJA MAIS INFORMAÇÕES NO MEU LAPTOP!;ДЛЯ ПРИКЛЮЧЕНИЙ НЕ ОЧЕНЬ ГОДИТСЯ,#НО СНИМАЕТ КЛАССНО.#У МЕНЯ В НОУТБУКЕ ЕСТЬ ПОДРОБНОСТИ!;NIE PRZYDAJE SIĘ PODCZAS PODRÓŻY,#ALE ROBI NIEZŁE ZDJĘCIA.#ZAJRZYJ DO MOJEGO LAPTOPA!;ぼうけん むきかと きかれれば そうでもないが#いい しゃしんは とれるんだ#もっと しりたければ わたしの ノートパソコンを みるといい!;모험에 그렇게 많이는 사용하지 않았지만,#멋진 사진을 좀 찍었지.#자세히 알아보고 싶으면 내 PC를 확인해봐!;虽然对冒险没多大用，#但它能拍好看的照片。#到我笔记本上查看更多信息吧！;對歷險沒多大用處,#但照片拍的很好.#打開我的電腦查找更多資訊!;
;WHOA, DON'T DO THAT!;POURQUOI TANT DE HAINE ?;HEE, LASS DAS SEIN!;¡EH, NO HAGAS ESO!;OH, OH, NON FARLO!;EI, NÃO FAZ ISSO!;ЭЙ, НЕ ДЕЛАЙ ЭТОГО!;EJ, NIE RÓB TEGO!;おっと やめてくれよ!;아야, 그러지 마!;停啊，别这么做！;我的天,不要這樣做!;
;WHOA, NOT IN HERE!;PAS D'EAU DANS MON LABO !;HEE, NICHT DA REIN!;¡OYE, AQUÍ NO!;NO, NON QUI!;EI, AQUI NÃO!;ОЙ, ТОЛЬКО НЕ СЮДА!;EJ, NIE TUTAJ!;おっと そこじゃないだろ!;아야, 여기서 그러지 마!;停啊，别在这！;我的天,沒在這!;
;GLAD IT STILL WORKS!;RAVI QU'IL MARCHE ENCORE !;OH, FUNKTIONIERT NOCH!;¡QUÉ BIEN QUE AÚN FUNCIONE!;CHE BELLO, FUNZIONA ANCORA!;QUE BOM QUE AINDA FUNCIONA!;ХОРОШО, ЧТО ЕЩЕ РАБОТАЕТ!;DOBRZE, ŻE WCIĄŻ DZIAŁA!;よかった まだつかえそうだ!;아직 멀쩡해서 다행이야!;还好能用！;幸好還能用!;
;ERROR: NO CAMERA;ERREUR : PAS D'APPAREIL PHOTO;FEHLER: KEINE KAMERA;ERROR: FALTA CÁMARA;ERRORE: FOTOCAMERA NON RILEVATA;ERRO: SEM CÂMERA;ОШИБКА: НЕТ КАМЕРЫ;BŁĄD: BRAK APARATU;エラー：カメラを もっていません;오류: 카메라 없음;错误：没照相机;錯誤:沒有照相機;
;ERROR: NO MANNERS;ERREUR : AUCUN SAVOIR-VIVRE !;FEHLER: KEINE MANIEREN;ERROR: FALTAN MODALES;ERRORE: BUONE MANIERE NON RILEVATE;ERRO: SEM MODOS;ОШИБКА: НИКАКИХ МАНЕР;BŁĄD: BRAK MANIER;エラー：マナーが なっていません;오류: 예의 없음;错误：没礼貌;錯誤:沒有禮貌;
;FIND YOUR PICTURE AT:#@;RETROUVE TA PHOTO SUR :#@.;FINDE DEIN BILD HIER:#@;TU FOTO ESTÁ EN:#@;TROVERAI LA TUA FOTO SU:#@;VEJA SUA FOTO EM:#@;ИЩИ СВОЕ ФОТО НА:#@;ZDJĘCIA MOŻESZ ZNALEŹĆ NA STRONIE#@;しゃしんは こちら：#@;@에서#당신의 사진을 찾아보세요.;在下方位置寻找你的照片：#@;找到自己的圖片:#@;
;BZZP#@;BZZP#@;BZZP#@;*BZZP*#@;BZZP#@;BZZP#@;БЗ-ЗП#@;BZZP#@;ピーッ#@;지직#@;噗滋#@;噗滋#@;
;BZZZZP;BZZZZP;BZZZZP;*BZZZZP*;BZZZZP;BZZZZP;БЗ-З-ЗП;BZZZZP;ブーー;지지지직;噗滋滋滋;噗滋滋;
;;;;;;;;;;;;;
;WOW! SOMETHING TERRIBLE#MUST HAVE HAPPENED HERE.;WAOUH ! JE SENS QU'UN DRAME#A DÛ SE PRODUIRE ICI.;WOW! HIER MUSS ETWAS ÜBLES#GESCHEHEN SEIN.;¡OSTRAS! HA DEBIDO DE PASAR#ALGO TERRIBLE AQUÍ.;UAU! DEVE ESSERE SUCCESSO#QUALCOSA DI ORRIBILE QUI.;UAU! ALGO TERRÍVEL DEVE#TER ACONTECIDO AQUI.;ОГО! ДОЛЖНО БЫТЬ,#ЗДЕСЬ ПРОИЗОШЛО ЧТО-ТО УЖАСНОЕ!;WOW! MUSIAŁO WYDARZYĆ SIĘ TU#COŚ OKROPNEGO.;きゃあ! なにか とんでもない ことが#おこったに ちがいないわ;세상에! 분명 무언가 끔찍한 일이#여기서 일어난 게 틀림없어.;哇！#肯定发生了什么可怕的事。;天!這一定發生了#可怕的事.;
;;;;;;;;;;;;;
;YOU'RE HERE FOR THE TREASURE?#HA! I CAN TELL...#SWIM WEST OF THE LONELIEST CRAB,#THEN AT THE LITTLE ROCK HEAD NORTH!;TU CHERCHES LE TRÉSOR ? JE LE SAVAIS !#NAGE À L'OUEST DU CRABE SOLITAIRE...#PUIS AU ROCHER ÉMERGÉ, CAP AU NORD !;DU SUCHST NACH DEM SCHATZ?#HA! SIEHT MAN...#SCHWIMM WESTLICH VOM EINSIEDLERKREBS,#DANN BEIM KLEINEN FELS NACH NORDEN!;¿HAS VENIDO A POR EL TESORO?#¡JA! SE NOTA. NADA#HACIA EL OESTE DEL CANGREJO SOLITARIO,#Y LUEGO EN LA ROCA VE HACIA EL NORTE.;SEI QUI PER IL TESORO, VERO?#AH! ASCOLTA...#NUOTA A OVEST DAL GRANCHIO SOLITARIO,#POI, DAL PICCOLO SCOGLIO, VAI A NORD!;VOCÊ VEIO ATRÁS DO TESOURO?#HA! LOGO VI...#NADE PARA OESTE DO CARANGUEJO ISOLADO,#DEPOIS DA PEDRA VÁ PARA O NORTE!;ТЫ ЗДЕСЬ ИЩЕШЬ СОКРОВИЩА?#ХА! Я МОГУ СКАЗАТЬ...#К ЗАПАДУ ОТ САМОГО ОДИНОКОГО КРАБА,#У МАЛЕНЬКОЙ СКАЛЫ НА СЕВЕР!;PRZYBYWASZ PO SKARB?#HA! POWIEM TAK...#PŁYŃ NA ZACHÓD OD SAMOTNEGO KRABA,#A OD SKAŁY NA PÓŁNOC!;たからを さがしに ここへ きたって?#ホゥ! そうじゃろうとも…#ひとりぼっちの カニより にしへ すすめ#ちいさな いわを みつけたら きたへ !;보물을 찾으러 왔다고?#하! 알려주지...#홀로 있는 게의 서쪽 방향으로 수영한 다음#작은 바위에서 북쪽으로 가렴!;你是为宝藏来的？#哈！我知道……#从最孤单的那只螃蟹往西边游，#然后在小石头那往北边游！;你來這是為了寶藏麼?#天!我知…#遊到最孤單的那只螃蟹西邊,#之後看到小岩石向北遊!;
;;;;;;;;;;;;;
;MY PLAN IS WORKING?#NOTHING CAN STOP ME NOW!#MWAHAHA!;MON PLAN FONCTIONNE ?#RIEN NE PEUT PLUS M'ARRÊTER !#MOUAHAHA !;MEIN PLAN FUNKTIONIERT?#NICHTS KANN MICH MEHR AUFHALTEN!#MWAHAHA!;¿MI PLAN ESTÁ FUNCIONANDO?#¡NADA PUEDE DETENERME AHORA!#¡MUAJA, JA, JA!;IL MIO PIANO FUNZIONA!#NIENTE MI FERMERÀ!#AH AH AH!;MEU PLANO ESTÁ DANDO CERTO?#NADA VAI ME DETER AGORA!#MUAHAHAHA!;МОЙ ПЛАН РАБОТАЕТ?#МЕНЯ НИЧТО НЕ ОСТАНОВИТ!#МУА-ХА-ХА!;MÓJ PLAN DZIAŁA?#NIC MNIE TERAZ NIE POWSTRZYMA!#MUAHAHA!;けいかくは じゅんちょうかね?#わたしが このよの ルールさ!#ガハハハハ!;내 계획이 잘 먹혀들고 있나?#이제 그 무엇도 나를 막을 수 없다!#으하하하하!;我的计划奏效了？#现在没人能阻止我了！#哇哈哈哈！;我的計畫奏效了麼?沒有什麼能夠阻止我了!#哇哈哈哈!;
;NO!#YOU'RE THE ONE#WHO NEEDS TO COOL DOWN!;NON !#C'EST TOI QUI A BESOIN DE#TE RAFRAÎCHIR LES IDÉES !;NEIN!#EINE ABKÜHLUNG#BRAUCHST WOHL DU!;¡NO!#¡AHORA ERES TÚ QUIEN#NECESITA REFRESCARSE!;NO!#SEI TU CHE DEVI#RINFRESCARTI LE IDEE!;NÃO!#É VOCÊ QUE PRECISA#ESFRIAR A CUCA!;НЕТ!#ЭТО ТЕБЕ ЗДЕСЬ#НУЖНО ОСТЫТЬ!;NIE!#TO TY MUSISZ#TROCHĘ OCHŁONĄĆ!;おい!#あたまを ひやすべきは#きみの ほうでは ないのかね?!;이런!#교육이 조금 필요한#녀석이로군!;不！#你需要冷静下来！;不!#你需要#冷靜下來!;
;YOU CAN'T END THIS!#IN A MINUTE I'LL#DO IT ALL AGAIN!;TU PERDS TON TEMPS !#DANS UNE MINUTE,#JE RECOMMENCERAI !;KEINE CHANCE!#IN EINER MINUTE#TUE ICH ES WIEDER!;¡NO PUEDES PONER FIN A ESTO!#¡VOLVERÉ A LA CARGA#EN UN PERIQUETE!;È INUTILE CERCARE DI FERMARE#TUTTO! LO FARÒ RIPARTIRE#IN UN ATTIMO!;VOCÊ NÃO É PÁREO PRA MIM!#POSSO FAZER TUDO DE NOVO!;ТЫ НЕ ПОЛОЖИШЬ ЭТОМУ КОНЕЦ!#ЧЕРЕЗ МИНУТУ#Я ЗАНОВО ВСЕ СДЕЛАЮ!;NIE ZAKOŃCZYSZ TEGO!#ZA MINUTĘ#ZNÓW ZROBIĘ TO SAMO!;おぼえておけ!#すぐに わたしが#しかえし してやる!;네가 날 막을 수 있을 것 같냐?!#일 분 후, 나는#다시 반복할 것이다!;你结束不了这一切的！#一分钟后所有事情我都能再做一遍！;你不要這樣做!#一分鐘內我會#再做一遍!;
